handle,level
https://www.youtube.com/@LaCienciaPop,advanced
https://www.youtube.com/@alex_riveiro/videos,advanced
https://www.youtube.com/@mandarax,advanced
https://www.youtube.com/@HRom/videos,advanced
https://www.youtube.com/@LauraEgiptologia,advanced
https://www.youtube.com/@reyouniverso,advanced
https://www.youtube.com/@ElRobotdePlaton/videos,advanced
https://www.youtube.com/@GenialSerie/videos,advanced
https://www.youtube.com/@cinematixfilms/videos,advanced
https://www.youtube.com/@YsiOficial,advanced
https://www.youtube.com/@KiskeyaLife,advanced
https://www.youtube.com/@MitosyHeroes,advanced
https://www.youtube.com/@DianaUribefm/videos,advanced
https://www.youtube.com/@MemoriasDePez,advanced
https://www.youtube.com/@eldebate_com/videos,advanced
https://www.youtube.com/@somosnomadastv,advanced
https://www.youtube.com/@ElMapadeSebas,advanced
https://www.youtube.com/@ElDollop,advanced
https://www.youtube.com/@ElDiaQue,advanced
https://www.youtube.com/@Curiosa-aventura/videos,advanced
https://www.youtube.com/@ChenteYdrach/videos,advanced
https://www.youtube.com/@witchcalli,advanced
https://www.youtube.com/@edaddeorodeam%C3%A9rica,advanced
https://www.youtube.com/@InsideMei,advanced
https://www.youtube.com/@belen.montilla,advanced
https://www.youtube.com/@Linguriosa,advanced
https://www.youtube.com/@DWDocumental,advanced
https://www.youtube.com/@LaVideotecadeAlejandria/videos,advanced
https://www.youtube.com/@lunamartinezoficial/videos,advanced
https://www.youtube.com/@LeanGiottonini,advanced
https://www.youtube.com/@SorprendenteOficial,advanced
https://www.youtube.com/@Quepasaria,advanced
https://www.youtube.com/@porquesomosasipodcast,advanced
https://www.youtube.com/@Garabatodo/videos,advanced
https://www.youtube.com/@QuieresUnCroquis,advanced
https://www.youtube.com/@beaglesdiary,advanced
https://www.youtube.com/@elmundodeslivki/videos,advanced
https://www.youtube.com/@NatureVistaES/videos,advanced
https://www.youtube.com/@Mariodewonder,advanced
https://www.youtube.com/@GeoIsis,advanced
https://www.youtube.com/@fabricando,advanced
https://www.youtube.com/@NovaFactory-i3t,advanced
https://www.youtube.com/@comosehace00,advanced
https://www.youtube.com/@ProductoX,advanced
https://www.youtube.com/@Factora_esp,advanced
https://www.youtube.com/@charlyokei,advanced
https://www.youtube.com/@PodcastElyElla,advanced
https://www.youtube.com/@biancagraulaupr,advanced
https://www.youtube.com/@jessicafernandezgarcia/videos,advanced
https://www.youtube.com/@CincoPreguntas,advanced
https://www.youtube.com/@EYAMAA,advanced
